,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2018-04-11,94.25,96.0,93.35,95.44,15.9066666666667,492784,0.0,1.0
2018-04-10,93.38,95.33,92.23,95.06,15.8433333333333,578814,0.0,1.0
2018-04-09,92.28,93.53,92.04,92.4,15.4,713988,0.0,1.0
2018-04-06,93.16,95.04,91.07,91.92,15.32,682311,0.0,1.0
2018-04-05,92.34,93.8,91.45,93.67,15.6116666666667,1651953,0.0,1.0
2018-04-04,88.16,91.87,88.11,91.7,15.2833333333333,748798,0.0,1.0
2018-04-03,86.74,89.82,86.74,89.05,14.8416666666667,782939,0.0,1.0
2018-04-02,89.83,89.86,85.81,86.58,14.43,676418,0.0,1.0
2018-03-29,90.72,92.23,89.82,90.03,15.005,706986,0.0,1.0
2018-03-28,91.31,92.88,89.83,90.23,15.0383333333333,638767,0.0,1.0
2018-03-27,91.13,92.63,90.45,91.29,15.215,647778,0.0,1.0
2018-03-26,90.53,91.26,89.45,90.98,15.1633333333333,1704167,0.0,1.0
2018-03-23,90.99,91.22,89.2,89.21,14.8683333333333,624051,0.0,1.0
2018-03-22,91.0,92.38,90.44,90.48,15.08,602611,0.0,1.0
2018-03-21,92.25,92.56,91.29,91.7,15.2833333333333,552359,0.0,1.0
2018-03-20,91.98,92.38,91.02,92.2,15.3666666666667,787722,0.0,1.0
2018-03-19,91.84,92.73,90.32,92.01,15.335,752964,0.0,1.0
2018-03-16,91.14,94.36,91.14,92.47,15.4116666666667,1232607,0.0,1.0
2018-03-15,90.8,91.39,90.0,90.93,15.155,1298324,0.0,1.0
2018-03-14,91.34,92.11,89.93,90.46,15.0766666666667,634986,0.0,1.0
2018-03-13,90.41,92.74,90.01,90.87,15.145,1369295,0.0,1.0
2018-03-12,95.5,95.7,87.61,90.28,15.0466666666667,2259266,0.0,1.0
2018-03-09,95.96,97.88,95.9,97.5,16.25,924139,0.0,1.0
2018-03-08,98.3,98.3,95.05,95.33,15.8883333333333,527692,0.0,1.0
2018-03-07,97.3,98.92,96.54,97.79,16.2983333333333,2339603,0.0,1.0
2018-03-06,94.99,98.73,93.72,98.29,16.3816666666667,961736,0.0,1.0
2018-03-05,95.75,96.79,94.26,94.69,15.7816666666667,893189,0.0,1.0
2018-03-02,93.71,96.1,92.69,95.88,15.98,544830,0.0,1.0
2018-03-01,94.45,95.06,91.74,94.68,15.78,1078611,0.0,1.0
2018-02-28,95.83,96.66,94.44,94.58,15.7633333333333,638165,0.0,1.0
2018-02-27,96.52,98.38,94.82,95.53,15.9216666666667,624392,0.0,1.0
2018-02-26,96.0,96.73,95.05,96.11,16.0183333333333,869129,0.0,1.0
2018-02-23,96.11,96.46,95.23,96.0,16.0,699040,0.0,1.0
2018-02-22,96.32,96.71,95.27,95.56,15.9266666666667,787042,0.0,1.0
2018-02-21,95.4,97.83,95.4,96.02,16.0033333333333,1084750,0.0,1.0
2018-02-20,94.0,95.48,92.08,94.98,15.83,1095060,0.0,1.0
2018-02-16,95.0,95.97,94.37,94.59,15.765,600496,0.0,1.0
2018-02-15,95.83,96.15,93.36,96.0,16.0,557760,0.0,1.0
2018-02-14,93.42,96.15,93.14,95.5,15.9166666666667,757553,0.0,1.0
2018-02-13,93.85,95.15,93.25,94.32,15.72,734336,0.0,1.0
2018-02-12,93.45,94.78,93.0,94.03,15.6716666666667,1029235,0.0,1.0
2018-02-09,91.59,94.02,90.09,93.26,15.5433333333333,1380784,0.0,1.0
2018-02-08,95.35,95.67,90.54,90.68,15.1133333333333,1651332,0.0,1.0
2018-02-07,95.12,97.82,94.87,95.69,15.9483333333333,968254,0.0,1.0
2018-02-06,92.67,95.48,91.86,95.0,15.8333333333333,1778700,0.0,1.0
