,CA_Open,CA_High,CA_Low,CA_Close,CA_Adj Close,CA_Volume,CA_Dividend Amount,CA_Split Coefficient
2024-02-05,25.21,25.21,25.21,25.21,24.6416536218796,2,0.0,1.0
2024-02-02,25.32,25.32,25.32,25.32,24.7491737289167,5,0.0,1.0
2024-02-01,25.505,25.505,25.505,25.505,24.9300029998429,10,0.04,1.0
2024-01-31,25.425,25.425,25.425,25.425,24.8128920051284,1200,0.0,1.0
2024-01-30,25.27,25.3,25.26,25.28,24.6713828865151,1200,0.0,1.0
2024-01-29,25.25,25.26,25.2455,25.2455,24.6377134755347,702,0.0,1.0
2024-01-26,25.165,25.165,25.165,25.165,24.5591515165804,12,0.0,1.0
2024-01-25,25.19,25.19,25.175,25.175,24.5689107661399,148,0.0,1.0
2024-01-24,25.15,25.17,25.14,25.16,24.5542718918006,901,0.0,1.0
2024-01-23,25.15,25.15,25.15,25.15,24.5445126422411,1,0.0,1.0
2024-01-22,25.19,25.1942,25.19,25.19,24.5835496404792,404,0.0,1.0
2024-01-19,25.17,25.17,25.17,25.17,24.5640311413602,2,0.0,1.0
2024-01-18,25.24,25.25,25.1965,25.2051,24.5982861073141,1401,0.0,1.0
2024-01-17,25.28,25.28,25.265,25.265,24.6567440121758,500203,0.0,1.0
2024-01-16,25.325,25.325,25.325,25.325,24.715299509533,1,0.0,1.0
2024-01-12,25.39,25.39,25.39,25.39,24.77873463167,0,0.0,1.0
2024-01-11,25.4,25.4,25.4,25.4,24.7884938812296,6519,0.0,1.0
2024-01-10,25.39,25.4,25.37,25.37,24.7592161325509,6519,0.0,1.0
2024-01-09,25.42,25.42,25.39,25.39,24.77873463167,200,0.0,1.0
2024-01-08,25.42,25.42,25.405,25.405,24.7933735060093,204,0.0,1.0
2024-01-05,25.31,25.34,25.31,25.34,24.7299383838723,502,0.0,1.0
2024-01-04,25.35,25.36,25.345,25.345,24.7348180086521,321,0.0,1.0
2024-01-03,25.3688,25.41,25.3688,25.395,24.7836142564498,861,0.0,1.0
2024-01-02,25.37,25.37,25.35,25.35,24.7396976334319,101,0.0,1.0
2023-12-29,25.395,25.395,25.395,25.395,24.7836142564498,200,0.0,1.0
2023-12-28,25.36,25.36,25.36,25.36,24.7494568829914,260,0.0,1.0
2023-12-27,25.38,25.41,25.38,25.405,24.7933735060093,4801,0.0,1.0
2023-12-26,25.33,25.34,25.325,25.325,24.715299509533,1423,0.0,1.0
2023-12-22,25.33,25.33,25.315,25.315,24.7055402599735,900,0.0,1.0
2023-12-21,25.34,25.34,25.325,25.325,24.715299509533,1310,0.0,1.0
2023-12-20,25.31,25.34,25.3096,25.325,24.715299509533,1702,0.0,1.0
2023-12-19,25.27,25.28,25.265,25.265,24.6567440121758,2502,0.0,1.0
2023-12-18,25.24,25.24,25.225,25.225,24.6177070139376,1300,0.0,1.0
2023-12-15,25.225,25.225,25.225,25.225,24.6177070139376,10,0.0,1.0
2023-12-14,25.195,25.195,25.195,25.195,24.588429265259,0,0.0,1.0
