,EXP_Open,EXP_High,EXP_Low,EXP_Close,EXP_Adj Close,EXP_Volume,EXP_Dividend Amount,EXP_Split Coefficient
2001-04-11,28.2,28.21,27.91,28.0,6.74734971341826,17200,0.0,1.0
2001-04-10,27.84,28.32,27.84,28.28,6.81482321055244,29400,0.0,1.0
2001-04-09,27.74,27.85,27.74,27.84,6.70879342934158,7600,0.0,1.0
2001-04-06,28.0,28.0,27.73,27.73,6.68228598403887,22800,0.0,1.0
2001-04-05,27.34,27.77,27.34,27.77,6.69192505505804,24100,0.0,1.0
2001-04-04,26.55,27.35,26.55,27.35,6.59071480935676,18700,0.0,1.0
2001-04-03,27.27,27.27,26.02,26.8,6.45817758284319,29300,0.0,1.0
2001-04-02,28.2,28.26,27.39,27.52,6.63168086118823,25800,0.0,1.0
2001-03-30,28.35,28.37,27.94,28.1,6.77144739096618,39400,0.05,1.0
2001-03-29,28.88,28.88,28.11,28.46,6.84601750433028,19100,0.0,1.0
2001-03-28,29.0,29.0,28.83,28.88,6.94704798050101,2400,0.0,1.0
2001-03-27,29.4,29.4,29.0,29.1,6.99996870611424,11100,0.0,1.0
2001-03-26,29.4,29.5,29.31,29.5,7.09618820722921,15000,0.0,1.0
2001-03-23,29.17,29.5,29.15,29.35,7.0601058943111,69700,0.0,1.0
2001-03-22,29.81,29.81,29.02,29.17,7.01680711880936,32600,0.0,1.0
2001-03-21,30.44,30.45,29.9,29.95,7.20443514598356,23800,0.0,1.0
2001-03-20,30.5,30.78,30.44,30.44,7.3223040348494,6600,0.0,1.0
2001-03-19,30.18,30.52,30.11,30.5,7.33673696001664,17400,0.0,1.0
2001-03-16,30.65,30.65,30.0,30.28,7.28381623440341,13500,0.0,1.0
2001-03-15,31.8,31.85,30.65,30.65,7.37281927293476,53300,0.0,1.0
2001-03-14,32.59,32.7,31.95,31.95,7.68553265155842,12800,0.0,1.0
2001-03-13,32.8,32.82,32.3,32.54,7.827456415703,18900,0.0,1.0
2001-03-12,33.02,33.5,33.0,33.0,7.93810884198522,21400,0.0,1.0
2001-03-09,32.8,33.03,32.7,33.02,7.94291981704097,15500,0.0,1.0
2001-03-08,32.85,33.0,32.75,32.76,7.88037714131624,15500,0.0,1.0
2001-03-07,32.31,32.85,32.11,32.85,7.90202652906711,31700,0.0,1.0
2001-03-06,33.0,33.0,32.3,32.31,7.77213020256189,54000,0.0,1.0
2001-03-05,31.25,33.3,31.25,32.71,7.86834970367687,45600,0.0,1.0
2001-03-02,30.35,31.5,30.35,31.25,7.51714852460722,39400,0.0,1.0
2001-03-01,29.35,29.85,29.35,29.85,7.18038027070481,13600,0.0,1.0
2001-02-28,29.05,29.5,29.05,29.35,7.0601058943111,16700,0.0,1.0
2001-02-27,29.01,29.29,29.0,29.1,6.99996870611424,15900,0.0,1.0
2001-02-26,29.08,29.42,29.0,29.06,6.99034675600274,30900,0.0,1.0
2001-02-23,29.25,29.38,29.0,29.07,6.99275224353062,16500,0.0,1.0
2001-02-22,29.45,29.45,29.03,29.35,7.0601058943111,12400,0.0,1.0
2001-02-21,29.57,29.57,29.44,29.45,7.08416076958984,7600,0.0,1.0
2001-02-20,29.39,29.65,29.3,29.56,7.11062113239646,25100,0.0,1.0
2001-02-16,29.49,29.54,29.2,29.49,7.09378271970134,26100,0.0,1.0
2001-02-15,29.22,29.5,29.17,29.49,7.09378271970134,4200,0.0,1.0
2001-02-14,29.43,29.5,28.99,29.11,7.00237419364211,10800,0.0,1.0
2001-02-13,29.42,29.88,29.42,29.42,7.07694430700622,11100,0.0,1.0
2001-02-12,29.35,29.35,28.95,29.28,7.04326748161598,23600,0.0,1.0
2001-02-09,29.35,29.43,29.22,29.43,7.07934979453409,13600,0.0,1.0
2001-02-08,28.8,29.13,28.8,29.1,6.99996870611424,12900,0.0,1.0
2001-02-07,28.75,28.85,28.46,28.75,6.91577664263864,22500,0.0,1.0
2001-02-06,29.04,29.25,28.7,28.7,6.90374920499927,13500,0.0,1.0
2001-02-05,28.95,29.33,28.9,29.12,7.00477968116999,11300,0.0,1.0
2001-02-02,28.8,29.13,28.8,29.0,6.9759138308355,14800,0.0,1.0
2001-02-01,27.95,28.59,27.91,28.59,6.87728884219265,10000,0.0,1.0
2001-01-31,27.9,28.09,27.5,27.7,6.66320045221184,23600,0.0,1.0
2001-01-30,28.1,28.8,27.97,28.45,6.84361201680241,19800,0.0,1.0
2001-01-29,28.25,28.83,27.5,28.1,6.75941995332681,33300,0.0,1.0
2001-01-26,28.25,28.69,28.06,28.25,6.79550226624492,15800,0.0,1.0
2001-01-25,28.44,28.69,28.31,28.44,6.84120652927454,33000,0.0,1.0
2001-01-24,28.37,29.03,28.34,28.44,6.84120652927454,65300,0.0,1.0
2001-01-23,27.88,28.5,27.19,28.12,6.76423092838256,48000,0.0,1.0
2001-01-22,28.0,28.5,27.75,27.81,6.68966081501845,51600,0.0,1.0
2001-01-19,29.62,29.62,29.0,29.06,6.99034675600274,8000,0.0,1.0
2001-01-18,30.0,30.0,29.25,29.87,7.18519124576056,8100,0.0,1.0
2001-01-17,30.25,30.25,29.94,30.13,7.24773392148529,14900,0.0,1.0
2001-01-16,29.69,30.69,29.69,30.0,7.21646258362293,19600,0.0,1.0
2001-01-12,29.69,30.0,29.38,29.94,7.20202965845568,18000,0.0,1.0
