,MDXG_Open,MDXG_High,MDXG_Low,MDXG_Close,MDXG_Adj Close,MDXG_Volume,MDXG_Dividend Amount,MDXG_Split Coefficient
2010-10-28,1.0,1.0,1.0,1.0,1.0,10200,0.0,1.0
2010-10-27,0.99,1.01,0.99,1.01,1.01,11000,0.0,1.0
2010-10-26,1.01,1.01,0.98,0.98,0.98,8300,0.0,1.0
2010-10-25,0.99,0.99,0.99,0.99,0.99,2000,0.0,1.0
2010-10-22,1.0,1.0,1.0,1.0,1.0,13500,0.0,1.0
2010-10-21,1.03,1.03,1.0,1.0,1.0,75300,0.0,1.0
2010-10-20,1.03,1.03,1.03,1.03,1.03,0,0.0,1.0
2010-10-19,1.1,1.1,1.03,1.03,1.03,13300,0.0,1.0
2010-10-18,1.05,1.105,1.05,1.1,1.1,27100,0.0,1.0
2010-10-15,1.05,1.05,1.02,1.02,1.02,2200,0.0,1.0
2010-10-14,1.02,1.02,1.02,1.02,1.02,5500,0.0,1.0
2010-10-13,1.02,1.02,1.02,1.02,1.02,4000,0.0,1.0
2010-10-12,1.01,1.01,1.01,1.01,1.01,1000,0.0,1.0
2010-10-11,1.01,1.01,1.01,1.01,1.01,2000,0.0,1.0
2010-10-08,1.1,1.1,0.98,1.02,1.02,24200,0.0,1.0
2010-10-07,0.98,1.11,0.98,1.11,1.11,140200,0.0,1.0
2010-10-06,1.0,1.0,1.0,1.0,1.0,10100,0.0,1.0
2010-10-05,1.0,1.0,0.99,1.0,1.0,9900,0.0,1.0
2010-10-04,1.01,1.01,1.0,1.01,1.01,10500,0.0,1.0
2010-10-01,1.02,1.03,1.02,1.03,1.03,10800,0.0,1.0
2010-09-30,1.04,1.04,1.01,1.01,1.01,24400,0.0,1.0
2010-09-29,1.04,1.04,1.04,1.04,1.04,16000,0.0,1.0
2010-09-28,1.04,1.07,1.03,1.07,1.07,4200,0.0,1.0
2010-09-27,1.07,1.07,1.04,1.04,1.04,4000,0.0,1.0
2010-09-24,1.09,1.09,1.07,1.07,1.07,5800,0.0,1.0
2010-09-23,1.08,1.15,1.07,1.07,1.07,26300,0.0,1.0
2010-09-22,1.07,1.1,1.07,1.09,1.09,19000,0.0,1.0
2010-09-21,1.07,1.07,1.05,1.05,1.05,8600,0.0,1.0
2010-09-20,1.1,1.15,1.03,1.04,1.04,20000,0.0,1.0
2010-09-17,1.05,1.1,1.01,1.1,1.1,16800,0.0,1.0
