,EQIX_Open,EQIX_High,EQIX_Low,EQIX_Close,EQIX_Adj Close,EQIX_Volume,EQIX_Dividend Amount,EQIX_Split Coefficient
2018-03-13,397.39,405.96,397.34,405.42,359.360434729996,799834,0.0,1.0
2018-03-12,397.49,399.89,394.88,395.35,350.434482439208,1025596,0.0,1.0
2018-03-09,391.3,395.38,388.86,395.16,350.266068245042,455301,0.0,1.0
2018-03-08,393.06,393.06,387.37,389.42,345.178186800244,542990,0.0,1.0
2018-03-07,390.15,394.16,389.78,391.38,346.915512171639,649384,0.0,1.0
2018-03-06,387.9,395.02,386.96,391.62,347.128245890585,432578,0.0,1.0
2018-03-05,370.79,391.0,370.79,388.51,344.371571449239,426608,0.0,1.0
2018-03-02,385.66,387.02,374.91,381.82,338.441619033612,808043,0.0,1.0
2018-03-01,393.01,394.68,385.48,386.29,342.403784548986,549060,0.0,1.0
2018-02-28,396.58,398.45,391.28,392.1,347.553713328477,592631,0.0,1.0
2018-02-27,394.87,396.65,389.46,391.21,346.764825787385,512699,0.0,1.0
2018-02-26,396.68,397.42,391.04,394.18,349.397405559345,452708,0.0,1.0
2018-02-23,390.14,402.5,390.14,394.84,349.982423286447,1029430,2.28,1.0
2018-02-22,388.85,393.54,384.22,390.45,344.104142758343,856445,0.0,1.0
2018-02-21,395.01,396.04,384.59,384.92,339.230545858731,1192493,0.0,1.0
2018-02-20,400.75,405.96,396.12,396.44,349.383138315066,793345,0.0,1.0
2018-02-16,405.29,408.68,396.29,403.3,355.428866114586,1313728,0.0,1.0
2018-02-15,418.27,420.0,401.0,407.31,358.962884842876,2770234,0.0,1.0
2018-02-14,434.3,436.88,428.93,435.83,384.097601583734,864776,0.0,1.0
2018-02-13,431.69,437.83,426.01,436.25,384.467748183704,866067,0.0,1.0
2018-02-12,428.61,438.17,416.16,431.45,380.237501326898,875277,0.0,1.0
2018-02-09,412.0,430.01,409.48,425.81,375.26696127015,993716,0.0,1.0
2018-02-08,427.57,430.0,409.94,409.98,361.315959656974,848411,0.0,1.0
2018-02-07,430.0,438.05,425.8,426.08,375.504912655846,421448,0.0,1.0
2018-02-06,427.31,434.04,421.21,430.85,379.708720469797,697783,0.0,1.0
2018-02-05,436.98,441.84,427.0,429.81,378.792166984156,493018,0.0,1.0
2018-02-02,442.0,446.26,435.52,437.35,385.437179755056,529966,0.0,1.0
2018-02-01,452.69,457.86,443.76,444.54,391.77373702598,563577,0.0,1.0
2018-01-31,442.45,458.64,440.1,455.19,401.159597239519,730378,0.0,1.0
2018-01-30,430.0,441.84,430.0,439.56,387.384855912044,646837,0.0,1.0
2018-01-29,446.98,449.9,434.47,435.16,383.507129626638,620648,0.0,1.0
2018-01-26,435.0,442.68,432.01,441.59,389.173897811901,1220813,0.0,1.0
2018-01-25,441.46,444.78,433.0,439.17,387.041148354928,917592,0.0,1.0
2018-01-24,442.78,445.73,438.85,441.3,388.918320397636,603680,0.0,1.0
2018-01-23,436.19,446.21,434.57,442.0,389.535231397587,790038,0.0,1.0
2018-01-22,438.0,439.28,433.31,436.05,384.291487898004,700561,0.0,1.0
2018-01-19,438.78,442.07,433.48,437.89,385.913082526446,591620,0.0,1.0
2018-01-18,440.1,444.93,436.82,437.45,385.525309897906,773255,0.0,1.0
2018-01-17,448.87,452.49,439.16,441.9,389.447101254737,623323,0.0,1.0
2018-01-16,436.8,452.61,436.49,448.1,394.911170111445,831591,0.0,1.0
2018-01-12,436.17,439.54,428.3,435.95,384.203357755154,1089000,0.0,1.0
2018-01-11,443.0,452.28,435.04,435.39,383.709828955193,602151,0.0,1.0
2018-01-10,453.02,453.78,442.26,443.0,390.416532826088,631575,0.0,1.0
2018-01-09,459.89,461.73,454.01,455.98,401.855825368036,397379,0.0,1.0
2018-01-08,450.79,461.36,448.0,458.2,403.812314539308,474446,0.0,1.0
2018-01-05,450.15,450.94,447.81,449.49,396.136179097062,331565,0.0,1.0
2018-01-04,449.33,450.46,447.43,447.95,394.77897489717,449089,0.0,1.0
2018-01-03,449.14,452.56,446.65,448.98,395.686715368526,460017,0.0,1.0
2018-01-02,453.53,456.56,445.97,446.92,393.871234425813,559804,0.0,1.0
2017-12-29,455.55,458.86,452.77,453.22,399.423433425372,264660,0.0,1.0
2017-12-28,451.12,456.63,449.4,455.11,401.089093125239,300692,0.0,1.0
2017-12-27,447.7,452.16,445.73,451.69,398.075042239765,248618,0.0,1.0
2017-12-26,443.01,447.51,442.65,446.7,393.677348111543,314742,0.0,1.0
2017-12-22,446.61,448.2,443.75,446.6,393.589217968693,366070,0.0,1.0
2017-12-21,448.81,451.08,444.66,445.89,392.963493954457,321018,0.0,1.0
2017-12-20,446.24,448.17,444.96,447.2,394.117998825794,484943,0.0,1.0
2017-12-19,455.65,456.58,445.31,448.52,395.281316711416,372187,0.0,1.0
2017-12-18,457.85,461.98,455.46,455.82,401.714817139475,546300,0.0,1.0
2017-12-15,462.43,462.43,455.31,457.85,403.503859039333,769772,0.0,1.0
2017-12-14,452.34,461.17,450.21,460.35,405.707112610586,390151,0.0,1.0
2017-12-13,454.71,457.97,450.25,451.28,397.713708654079,618088,0.0,1.0
2017-12-12,449.7,453.11,446.41,450.21,396.770716125583,321990,0.0,1.0
2017-12-11,451.63,455.58,446.42,449.58,396.215496225627,481678,0.0,1.0
2017-12-08,459.04,459.66,450.19,452.39,398.691953239716,381615,0.0,1.0
2017-12-07,450.74,458.1099,448.02,455.77,401.67075206805,532614,0.0,1.0
2017-12-06,446.88,452.7284,445.53,450.24,396.797155168438,324553,0.0,1.0
2017-12-05,442.29,449.4,441.0,445.59,392.699103525907,424319,0.0,1.0
2017-12-04,471.03,471.39,441.78,442.28,389.781995797567,655033,0.0,1.0
2017-12-01,464.75,469.46,461.24,469.16,413.471378195683,367982,0.0,1.0
2017-11-30,468.19,468.19,461.3,464.49,409.355700524582,590724,0.0,1.0
2017-11-29,478.0,478.0,464.93,468.32,412.731084995742,420168,0.0,1.0
2017-11-28,481.4,481.485,475.86,477.95,421.21801775221,332594,0.0,1.0
2017-11-27,474.04,481.24,472.11,478.92,422.072880137856,316294,0.0,1.0
2017-11-24,473.0,476.73,472.265,474.07,417.798568209625,99630,0.0,1.0
2017-11-22,473.08,475.02,470.795,472.37,416.300355781172,173513,0.0,1.0
2017-11-21,472.69,475.13,471.28,474.26,417.96601548104,374309,0.0,1.0
2017-11-20,474.27,474.53,470.49,471.89,415.877331095492,174125,0.0,1.0
2017-11-17,473.74,475.63,470.011,472.8,416.679315395428,297214,0.0,1.0
2017-11-16,474.9,477.395,473.34,475.09,418.697495666696,463455,0.0,1.0
2017-11-15,479.37,483.44,473.52,474.42,418.1070237096,312721,0.0,1.0
2017-11-14,480.07,484.31,478.32,481.05,423.950052180564,274403,2.0,1.0
