,SPSC_Open,SPSC_High,SPSC_Low,SPSC_Close,SPSC_Adj Close,SPSC_Volume,SPSC_Dividend Amount,SPSC_Split Coefficient
2016-09-23,73.41,74.85,72.66,72.71,36.355,335057,0.0,1.0
2016-09-22,71.77,73.65,71.63,73.42,36.71,2442772,0.0,1.0
2016-09-21,71.87,74.49,70.76,71.92,35.96,1401229,0.0,1.0
2016-09-20,67.51,67.98,66.97,67.51,33.755,102445,0.0,1.0
2016-09-19,68.29,68.62,66.57,66.99,33.495,113567,0.0,1.0
2016-09-16,68.07,68.335,67.055,68.3,34.15,89856,0.0,1.0
2016-09-15,66.94,68.33,66.94,67.93,33.965,65789,0.0,1.0
2016-09-14,66.027,67.705,66.027,67.09,33.545,83834,0.0,1.0
2016-09-13,66.92,67.15,65.97,66.785,33.3925,157791,0.0,1.0
2016-09-12,66.65,67.8,66.29,67.45,33.725,38196,0.0,1.0
2016-09-09,67.65,68.76,66.775,66.8,33.4,225808,0.0,1.0
2016-09-08,69.07,69.09,67.0401,68.42,34.21,155647,0.0,1.0
2016-09-07,67.58,69.136,67.3,69.03,34.515,108159,0.0,1.0
2016-09-06,67.54,67.77,66.73,67.54,33.77,71326,0.0,1.0
2016-09-02,65.69,67.835,65.01,67.73,33.865,56279,0.0,1.0
2016-09-01,65.33,66.0,64.89,65.76,32.88,90490,0.0,1.0
2016-08-31,66.04,66.04,64.64,65.28,32.64,67785,0.0,1.0
2016-08-30,66.6,66.64,65.47,65.99,32.995,43560,0.0,1.0
2016-08-29,67.092,67.29,66.04,66.37,33.185,41478,0.0,1.0
2016-08-26,66.22,67.1,65.95,66.65,33.325,31753,0.0,1.0
2016-08-25,66.2,66.727,65.7,66.33,33.165,60375,0.0,1.0
2016-08-24,66.02,66.63,65.89,66.54,33.27,52781,0.0,1.0
2016-08-23,66.08,66.87,65.73,66.27,33.135,42323,0.0,1.0
2016-08-22,65.19,66.1795,65.19,66.14,33.07,51972,0.0,1.0
2016-08-19,65.45,66.29,64.66,65.75,32.875,32403,0.0,1.0
2016-08-18,65.74,65.88,64.29,65.48,32.74,46168,0.0,1.0
2016-08-17,65.52,66.98,63.65,65.17,32.585,57288,0.0,1.0
2016-08-16,65.91,66.96,65.28,65.53,32.765,45819,0.0,1.0
2016-08-15,65.79,67.99,65.59,66.23,33.115,48741,0.0,1.0
2016-08-12,65.8,68.0,65.34,65.83,32.915,35813,0.0,1.0
2016-08-11,65.97,66.29,65.57,65.75,32.875,42223,0.0,1.0
2016-08-10,65.48,65.979,65.17,65.6,32.8,32694,0.0,1.0
2016-08-09,65.24,65.79,64.82,65.63,32.815,50437,0.0,1.0
2016-08-08,65.07,65.27,64.74,64.96,32.48,34552,0.0,1.0
2016-08-05,64.56,65.55,64.56,65.25,32.625,85723,0.0,1.0
2016-08-04,64.87,64.87,63.74,64.5,32.25,75379,0.0,1.0
2016-08-03,65.54,65.57,64.21,64.62,32.31,105840,0.0,1.0
2016-08-02,63.8,66.0,63.8,65.75,32.875,219915,0.0,1.0
2016-08-01,63.46,64.2,62.39,63.88,31.94,168294,0.0,1.0
2016-07-29,64.11,66.11,61.12,63.32,31.66,149980,0.0,1.0
2016-07-28,64.0,68.29,62.95,64.4,32.2,246759,0.0,1.0
2016-07-27,61.91,62.95,61.38,61.73,30.865,88188,0.0,1.0
2016-07-26,60.94,62.27,60.94,61.99,30.995,45758,0.0,1.0
2016-07-25,61.97,62.56,60.88,61.09,30.545,77484,0.0,1.0
2016-07-22,61.28,62.47,61.28,62.21,31.105,138543,0.0,1.0
2016-07-21,62.29,62.674,61.63,61.72,30.86,79346,0.0,1.0
2016-07-20,62.08,63.16,61.68,62.57,31.285,92182,0.0,1.0
2016-07-19,62.09,62.6,58.909,61.68,30.84,65139,0.0,1.0
2016-07-18,60.59,62.229,60.361,62.06,31.03,145121,0.0,1.0
2016-07-15,61.58,61.58,59.97,60.72,30.36,98488,0.0,1.0
2016-07-14,61.39,62.125,61.09,61.19,30.595,110102,0.0,1.0
2016-07-13,62.02,62.19,60.55,61.35,30.675,216694,0.0,1.0
2016-07-12,61.94,62.26,61.66,61.93,30.965,161424,0.0,1.0
2016-07-11,61.68,62.26,60.66,61.45,30.725,96473,0.0,1.0
2016-07-08,60.56,61.73,59.985,61.56,30.78,156594,0.0,1.0
2016-07-07,59.53,60.31,59.52,60.1,30.05,76814,0.0,1.0
2016-07-06,59.64,60.3,59.54,60.11,30.055,82798,0.0,1.0
2016-07-05,61.08,61.49,60.02,60.11,30.055,60568,0.0,1.0
2016-07-01,60.56,61.78,60.48,61.49,30.745,90658,0.0,1.0
2016-06-30,59.38,60.72,58.395,60.6,30.3,118268,0.0,1.0
2016-06-29,58.08,59.17,56.6,59.08,29.54,109835,0.0,1.0
2016-06-28,56.72,58.49,56.41,57.4,28.7,124431,0.0,1.0
2016-06-27,57.12,57.44,55.565,56.42,28.21,179452,0.0,1.0
2016-06-24,57.21,58.69,56.96,57.72,28.86,259106,0.0,1.0
2016-06-23,57.69,59.5,57.14,59.5,29.75,102019,0.0,1.0
2016-06-22,56.91,57.95,56.49,56.9,28.45,140311,0.0,1.0
2016-06-21,56.48,57.11,56.23,56.9,28.45,62100,0.0,1.0
2016-06-20,55.97,57.42,55.62,56.66,28.33,121220,0.0,1.0
2016-06-17,57.74,57.74,55.13,55.45,27.725,150350,0.0,1.0
2016-06-16,56.32,57.68,55.585,57.55,28.775,87937,0.0,1.0
2016-06-15,56.74,57.3,56.2,56.57,28.285,74608,0.0,1.0
2016-06-14,55.43,56.69,55.27,56.49,28.245,66652,0.0,1.0
2016-06-13,55.91,57.215,55.43,55.7,27.85,114431,0.0,1.0
2016-06-10,56.76,57.47,56.08,56.31,28.155,33810,0.0,1.0
2016-06-09,57.34,57.97,56.03,57.53,28.765,154064,0.0,1.0
2016-06-08,56.83,58.34,56.44,57.77,28.885,79158,0.0,1.0
2016-06-07,57.76,57.93,56.59,56.99,28.495,87133,0.0,1.0
2016-06-06,57.26,58.42,57.09,57.71,28.855,122751,0.0,1.0
2016-06-03,57.23,57.63,56.06,57.4,28.7,436672,0.0,1.0
2016-06-02,56.0,57.25,55.4,57.19,28.595,108942,0.0,1.0
2016-06-01,54.59,56.775,54.06,56.38,28.19,178090,0.0,1.0
2016-05-31,54.26,54.54,53.9,54.5,27.25,113021,0.0,1.0
2016-05-27,53.36,54.71,53.36,53.79,26.895,93782,0.0,1.0
2016-05-26,53.25,54.51,53.17,53.54,26.77,253315,0.0,1.0
2016-05-25,54.04,54.04,53.19,53.25,26.625,78003,0.0,1.0
2016-05-24,53.42,54.3599,53.4,53.7,26.85,138902,0.0,1.0
2016-05-23,53.63,54.89,52.97,53.02,26.51,128470,0.0,1.0
2016-05-20,52.47,53.71,52.3,53.44,26.72,55070,0.0,1.0
2016-05-19,52.246,52.39,51.6,52.09,26.045,80098,0.0,1.0
2016-05-18,51.88,52.97,50.06,52.27,26.135,159124,0.0,1.0
2016-05-17,52.96,52.96,51.85,52.05,26.025,244515,0.0,1.0
2016-05-16,52.67,53.54,51.295,52.91,26.455,99572,0.0,1.0
2016-05-13,52.03,52.9,51.195,52.62,26.31,104267,0.0,1.0
2016-05-12,51.54,52.5,50.8701,52.03,26.015,139254,0.0,1.0
2016-05-11,52.26,52.91,51.2,51.24,25.62,111749,0.0,1.0
2016-05-10,52.23,52.77,51.73,52.46,26.23,107613,0.0,1.0
2016-05-09,51.07,52.56,50.525,52.02,26.01,131792,0.0,1.0
2016-05-06,50.9,52.0,50.08,51.07,25.535,252693,0.0,1.0
2016-05-05,52.35,52.535,50.96,51.16,25.58,191448,0.0,1.0
2016-05-04,51.79,52.15,50.4601,51.99,25.995,197185,0.0,1.0
2016-05-03,52.24,52.93,51.95,51.95,25.975,182963,0.0,1.0
2016-05-02,51.26,53.1,50.73,52.54,26.27,255389,0.0,1.0
2016-04-29,51.26,52.07,50.72,50.93,25.465,242906,0.0,1.0
2016-04-28,50.18,52.54,50.18,51.24,25.62,309987,0.0,1.0
2016-04-27,49.26,50.39,48.33,50.18,25.09,171540,0.0,1.0
2016-04-26,49.01,49.96,48.55,49.48,24.74,265552,0.0,1.0
2016-04-25,48.21,48.94,47.425,48.9,24.45,315350,0.0,1.0
2016-04-22,46.53,48.69,43.76,48.64,24.32,528352,0.0,1.0
2016-04-21,44.95,46.83,44.5,46.81,23.405,275385,0.0,1.0
2016-04-20,43.8,45.08,43.7,45.06,22.53,146986,0.0,1.0
2016-04-19,44.07,44.47,43.64,43.93,21.965,80037,0.0,1.0
2016-04-18,42.81,44.705,42.72,44.58,22.29,146729,0.0,1.0
2016-04-15,42.42,43.2197,42.42,42.84,21.42,90559,0.0,1.0
2016-04-14,42.76,42.97,42.41,42.5,21.25,88611,0.0,1.0
2016-04-13,41.48,43.16,41.48,42.86,21.43,118957,0.0,1.0
2016-04-12,42.88,42.88,40.94,41.39,20.695,180118,0.0,1.0
2016-04-11,43.04,43.862,42.465,42.76,21.38,129328,0.0,1.0
2016-04-08,42.52,43.1,41.15,42.87,21.435,178693,0.0,1.0
2016-04-07,43.76,43.76,42.05,42.26,21.13,104272,0.0,1.0
2016-04-06,42.96,44.15,42.3,43.88,21.94,123260,0.0,1.0
2016-04-05,42.11,43.01,42.04,42.93,21.465,160815,0.0,1.0
2016-04-04,42.67,42.795,42.05,42.51,21.255,135931,0.0,1.0
