,MSTR_Open,MSTR_High,MSTR_Low,MSTR_Close,MSTR_Adj Close,MSTR_Volume,MSTR_Dividend Amount,MSTR_Split Coefficient
2018-01-25,138.47,140.15,136.73,137.33,13.733,150733,0.0,1.0
2018-01-24,139.68,140.58,138.01,138.29,13.829,89322,0.0,1.0
2018-01-23,139.33,140.34,138.01,139.1,13.91,35144,0.0,1.0
2018-01-22,140.65,140.98,138.54,139.22,13.922,55860,0.0,1.0
2018-01-19,138.58,141.18,138.03,140.98,14.098,71536,0.0,1.0
2018-01-18,138.99,139.99,137.88,138.85,13.885,71421,0.0,1.0
2018-01-17,138.6,139.85,137.93,139.6,13.96,50658,0.0,1.0
2018-01-16,139.96,142.15,138.0,138.31,13.831,62453,0.0,1.0
2018-01-12,138.62,139.8,137.05,139.75,13.975,53582,0.0,1.0
2018-01-11,136.97,139.59,134.49,138.36,13.836,57717,0.0,1.0
2018-01-10,134.6,136.96,134.29,136.62,13.662,42626,0.0,1.0
2018-01-09,136.69,136.96,134.11,136.25,13.625,54899,0.0,1.0
2018-01-08,134.77,136.94,133.95,136.61,13.661,55612,0.0,1.0
2018-01-05,135.34,135.89,134.01,135.01,13.501,49643,0.0,1.0
2018-01-04,133.26,135.44,133.04,135.06,13.506,76428,0.0,1.0
2018-01-03,131.93,134.01,131.7,132.38,13.238,71707,0.0,1.0
2018-01-02,131.64,134.67,130.55,131.8,13.18,55325,0.0,1.0
2017-12-29,131.81,132.96,130.89,131.3,13.13,36537,0.0,1.0
2017-12-28,132.01,132.48,131.2,131.6,13.16,30721,0.0,1.0
2017-12-27,130.99,132.82,130.51,131.39,13.139,58466,0.0,1.0
2017-12-26,132.03,132.37,130.69,131.04,13.104,81481,0.0,1.0
2017-12-22,133.56,134.57,131.5,131.93,13.193,81937,0.0,1.0
2017-12-21,135.39,135.99,132.75,133.65,13.365,64587,0.0,1.0
2017-12-20,135.21,136.48,132.76,135.07,13.507,66837,0.0,1.0
2017-12-19,133.97,136.04,132.73,134.82,13.482,104300,0.0,1.0
2017-12-18,132.87,135.83,132.18,133.98,13.398,61941,0.0,1.0
2017-12-15,131.62,133.79,129.75,132.65,13.265,181326,0.0,1.0
2017-12-14,133.09,133.15,130.45,131.75,13.175,105364,0.0,1.0
2017-12-13,132.78,134.94,131.79,132.85,13.285,100895,0.0,1.0
2017-12-12,133.87,135.19,131.89,132.36,13.236,49438,0.0,1.0
2017-12-11,136.37,136.37,133.12,133.68,13.368,101276,0.0,1.0
2017-12-08,134.54,138.8,132.91,136.25,13.625,98853,0.0,1.0
2017-12-07,132.56,136.31,131.07,133.99,13.399,94743,0.0,1.0
2017-12-06,134.38,136.18,133.57,134.47,13.447,76635,0.0,1.0
2017-12-05,135.26,136.535,133.44,134.56,13.456,54732,0.0,1.0
2017-12-04,136.16,137.63,134.68,135.23,13.523,116953,0.0,1.0
2017-12-01,136.84,137.67,133.42,135.0,13.5,54552,0.0,1.0
2017-11-30,137.16,137.7,135.0,136.76,13.676,55677,0.0,1.0
2017-11-29,138.5,138.5,136.07,136.59,13.659,60735,0.0,1.0
2017-11-28,136.25,138.45,135.41,138.2,13.82,48252,0.0,1.0
2017-11-27,137.44,138.25,136.06,136.3,13.63,57892,0.0,1.0
2017-11-24,138.12,138.12,136.0,137.43,13.743,29740,0.0,1.0
