,FTV_Open,FTV_High,FTV_Low,FTV_Close,FTV_Adj Close,FTV_Volume,FTV_Dividend Amount,FTV_Split Coefficient
2017-09-20,70.22,70.66,69.94,70.17,57.101836495024,2016768,0.0,1.0
2017-09-19,70.31,70.53,70.01,70.08,57.0285977137136,952431,0.0,1.0
2017-09-18,69.49,70.48,69.32,70.31,57.2157634881736,1321617,0.0,1.0
2017-09-15,70.07,70.21,69.05,69.36,56.4426874632302,2709549,0.0,1.0
2017-09-14,68.35,69.2,67.95,69.19,56.3043475429772,1816116,0.0,1.0
2017-09-13,67.73,68.71,67.53,68.69,55.897465424586,1892731,0.0,1.0
2017-09-12,67.61,68.08,67.61,67.87,55.2301787504244,845880,0.0,1.0
2017-09-11,66.98,67.61,66.62,67.52,54.9453612675505,1445124,0.0,1.0
2017-09-08,65.53,67.09,65.48,66.48,54.0990464612968,1110171,0.0,1.0
2017-09-07,64.94,65.64,64.62,65.57,53.3585210058248,809775,0.0,1.0
2017-09-06,65.5,65.99,64.644,64.73,52.6749590469275,1901470,0.0,1.0
2017-09-05,64.99,65.74,64.85,65.09,52.9679141721692,1043008,0.0,1.0
2017-09-01,65.25,65.4,64.92,65.1,52.976051814537,814152,0.0,1.0
2017-08-31,64.85,65.14,64.69,64.97,52.8702624637553,1291870,0.0,1.0
2017-08-30,64.42,64.94,64.35,64.8,52.7319225435023,1586055,0.0,1.0
2017-08-29,64.26,64.57,63.971,64.46,52.4552427029963,1812778,0.0,1.0
2017-08-28,64.95,65.06,64.245,64.49,52.4796556300997,692156,0.0,1.0
2017-08-25,65.05,65.25,64.1,64.69,52.6424084774562,1407812,0.0,1.0
2017-08-24,65.12,65.34,64.63,64.88,52.7970236824449,1163624,0.0,1.0
2017-08-23,65.64,65.7,64.98,65.03,52.9190883179623,637429,0.07,1.0
2017-08-22,65.59,66.0,65.59,65.86,53.5368841262826,776239,0.0,1.0
2017-08-21,65.0,65.52,64.64,65.42,53.179212868834,703180,0.0,1.0
2017-08-18,64.95,65.39,64.68,65.03,52.8621860724591,959430,0.0,1.0
2017-08-17,65.87,66.0475,65.11,65.16,52.9678616712507,509820,0.0,1.0
2017-08-16,66.31,66.63,66.0,66.15,53.77262200051,638816,0.0,1.0
2017-08-15,66.2,66.38,65.92,66.12,53.7482353238658,591798,0.0,1.0
2017-08-14,66.1,66.38,65.98,66.25,53.8539109226574,492839,0.0,1.0
2017-08-11,65.62,66.08,65.4,65.6,53.3255329286993,705331,0.0,1.0
2017-08-10,66.55,66.72,65.51,65.53,53.2686306831961,1035151,0.0,1.0
2017-08-09,66.86,66.98,66.545,66.82,54.3172577788977,948769,0.0,1.0
2017-08-08,66.97,67.2,66.85,66.92,54.3985467010451,1172732,0.0,1.0
2017-08-07,67.0,67.48,66.72,67.22,54.6424134674873,1466482,0.0,1.0
2017-08-04,66.68,67.2,66.52,67.17,54.6017690064136,1117712,0.0,1.0
2017-08-03,66.35,66.54,66.06,66.53,54.0815199046702,1102810,0.0,1.0
2017-08-02,65.31,66.54,65.3,66.28,53.8782975993017,1813318,0.0,1.0
2017-08-01,64.79,65.73,64.26,65.2,53.0003772401097,1849672,0.0,1.0
2017-07-31,64.76,64.91,64.21,64.74,52.6264481982316,1975555,0.0,1.0
2017-07-28,63.5,64.82,62.6387,64.47,52.4069681084336,2209437,0.0,1.0
2017-07-27,62.16,62.79,62.05,62.58,50.8706074798476,1840194,0.0,1.0
2017-07-26,63.11,63.22,62.14,62.18,50.545451791258,1740886,0.0,1.0
2017-07-25,63.57,63.73,62.97,63.07,51.2689231983699,1713675,0.0,1.0
2017-07-24,63.33,63.4,63.05,63.29,51.4477588270942,1203459,0.0,1.0
2017-07-21,63.24,63.49,63.08,63.25,51.4152432582352,1277038,0.0,1.0
2017-07-20,64.01,64.15,62.83,63.5,51.6184655636037,1556946,0.0,1.0
2017-07-19,63.94,63.99,63.58,63.97,52.0005234976966,1325484,0.0,1.0
2017-07-18,64.03,64.22,63.63,63.75,51.8216878689723,1029892,0.0,1.0
2017-07-17,64.57,64.57,63.78,64.14,52.1387146653472,1388222,0.0,1.0
2017-07-14,64.42,64.79,64.32,64.56,52.4801281383663,1071314,0.0,1.0
2017-07-13,64.75,64.86,64.31,64.39,52.3419369707157,864117,0.0,1.0
2017-07-12,64.24,64.9,64.2,64.7,52.5939326293726,1117482,0.0,1.0
2017-07-11,64.68,64.68,63.38,63.97,52.0005234976966,1104755,0.0,1.0
2017-07-10,63.82,64.945,63.76,64.6,52.5126437072252,1975085,0.0,1.0
2017-07-07,63.61,64.0,63.46,63.85,51.9029767911197,1075886,0.0,1.0
2017-07-06,63.4,63.78,63.22,63.33,51.4802743959532,1473941,0.0,1.0
2017-07-05,63.63,63.98,63.185,63.61,51.7078833779659,891319,0.0,1.0
2017-07-03,63.65,63.73,63.19,63.33,51.4802743959532,652599,0.0,1.0
2017-06-30,62.92,63.68,62.9,63.35,51.4965321803826,1168734,0.0,1.0
2017-06-29,64.37,64.37,62.75,62.86,51.0982164618603,1290325,0.0,1.0
2017-06-28,63.79,64.55,63.595,64.41,52.3581947551451,830150,0.0,1.0
2017-06-27,63.79,64.09,63.37,63.37,51.5127899648121,696894,0.0,1.0
2017-06-26,64.3,64.72,63.94,64.11,52.1143279887029,1009496,0.0,1.0
2017-06-23,63.95,64.16,63.67,64.1,52.1061990964882,6382901,0.0,1.0
2017-06-22,64.34,64.53,63.91,64.1,52.1061990964882,1043464,0.0,1.0
2017-06-21,64.52,64.7,64.28,64.37,52.3256791862862,1462530,0.0,1.0
2017-06-20,64.5,65.21,64.3,64.47,52.4069681084336,1759485,0.0,1.0
2017-06-19,64.31,64.83,64.19,64.79,52.6670926593053,1369935,0.0,1.0
2017-06-16,63.17,64.06,62.87,64.05,52.0655546354145,1674649,0.0,1.0
2017-06-15,62.66,63.26,62.38,63.04,51.2445365217257,1170170,0.0,1.0
2017-06-14,63.28,63.48,62.93,62.95,51.171376491793,1378801,0.0,1.0
