,V_Open,V_High,V_Low,V_Close,V_Adj Close,V_Volume,V_Dividend Amount,V_Split Coefficient
2020-10-29,183.0,187.0,179.34,184.87,179.597743153864,16820865,0.0,1.0
2020-10-28,183.98,184.7,179.34,180.87,175.711818057226,17809450,0.0,1.0
2020-10-27,193.0,193.7,189.22,190.06,184.639730966751,8690350,0.0,1.0
2020-10-26,196.0,196.42,190.72,193.07,187.563889601971,12608686,0.0,1.0
2020-10-23,199.75,199.88,196.02,198.01,192.363007096319,5877238,0.0,1.0
2020-10-22,199.34,199.7665,195.76,197.99,192.343577470836,4911939,0.0,1.0
2020-10-21,197.83,200.42,197.83,198.43,192.771029231466,6067207,0.0,1.0
2020-10-20,197.55,199.66,196.71,197.7,192.06184790133,7429822,0.0,1.0
2020-10-19,200.85,201.07,196.5,196.97,191.352666571193,7449606,0.0,1.0
2020-10-16,199.99,202.65,199.41,200.26,194.548839963178,6387996,0.0,1.0
2020-10-15,201.01,204.7,197.6,199.55,193.859088258525,8887367,0.0,1.0
2020-10-14,204.71,204.9699,201.13,202.2,196.433513635048,5321915,0.0,1.0
2020-10-13,203.38,205.21,203.03,204.32,198.493053936266,5621674,0.0,1.0
2020-10-12,206.94,207.97,205.73,206.4,200.513734986517,6622714,0.0,1.0
2020-10-09,204.0,207.08,203.675,206.64,200.746890492316,5562948,0.0,1.0
2020-10-08,204.0,204.3,202.23,202.98,197.191269028892,3955634,0.0,1.0
2020-10-07,202.0,202.79,199.99,202.47,196.695813579071,6713433,0.0,1.0
2020-10-06,204.11,205.1,199.71,200.45,194.733421405268,5841141,0.0,1.0
2020-10-05,202.71,203.65,201.05,203.54,197.735298542421,6090528,0.0,1.0
2020-10-02,200.0,202.83,199.4,201.46,195.71461749217,6019734,0.0,1.0
2020-10-01,202.21,205.195,201.6357,203.35,197.550717100331,7234628,0.0,1.0
2020-09-30,200.85,202.54,198.89,199.97,194.267110393672,9157591,0.0,1.0
2020-09-29,200.58,202.38,199.37,199.44,193.752225318367,5559814,0.0,1.0
2020-09-28,200.63,201.72,199.83,200.32,194.607128839628,5565280,0.0,1.0
2020-09-25,195.02,198.14,193.51,197.25,191.624681327958,5496052,0.0,1.0
2020-09-24,195.15,197.67,193.13,195.52,189.944018723662,9865265,0.0,1.0
2020-09-23,200.8,201.09,194.57,195.37,189.798296532538,6310558,0.0,1.0
2020-09-22,198.09,200.71,196.8,200.56,194.840284345426,7543137,0.0,1.0
2020-09-21,199.91,201.25,194.7,197.45,191.81897758279,9656041,0.0,1.0
2020-09-18,205.47,205.72,201.72,202.61,196.831820957453,9084141,0.0,1.0
2020-09-17,202.85,205.58,202.0,205.27,199.415961146717,7474944,0.0,1.0
2020-09-16,206.74,207.745,204.95,205.13,199.279953768335,6135541,0.0,1.0
2020-09-15,206.75,208.21,204.77,205.39,199.532538899616,6328575,0.0,1.0
2020-09-14,203.35,206.41,203.14,204.98,199.134231577211,11730452,0.0,1.0
2020-09-11,201.58,202.41,198.91,200.68,194.956862098325,7439317,0.0,1.0
2020-09-10,204.86,207.0,200.45,201.54,195.792335994102,7242970,0.0,1.0
2020-09-09,204.35,206.29,201.9462,204.06,198.240468804984,7532626,0.0,1.0
2020-09-08,200.78,202.25,199.214,200.12,194.412832584796,14186879,0.0,1.0
2020-09-04,208.49,210.5,200.15,204.66,198.82335756948,13243604,0.0,1.0
2020-09-03,214.93,214.93,207.09,208.96,203.000727048366,11310193,0.0,1.0
2020-09-02,214.13,217.35,213.77,216.48,210.306266230045,9863801,0.0,1.0
2020-09-01,212.21,213.89,211.12,213.35,207.265529841926,5648766,0.0,1.0
2020-08-31,215.54,215.96,211.56,211.99,205.944315309069,9326852,0.0,1.0
2020-08-28,212.0,216.16,211.22,215.71,209.558225648942,7349837,0.0,1.0
2020-08-27,211.21,212.18,209.05,211.03,205.011693285876,8619578,0.0,1.0
2020-08-26,208.1,210.8,207.3025,210.26,204.263652704773,7035221,0.0,1.0
2020-08-25,207.19,208.2,205.5407,208.1,202.165253152588,5828348,0.0,1.0
2020-08-24,205.01,206.45,204.67,206.41,200.523449799259,6159596,0.0,1.0
2020-08-21,204.5,205.14,203.34,204.13,198.308472494175,9998308,0.0,1.0
2020-08-20,199.9,204.44,199.6,204.15,198.327902119659,8849171,0.0,1.0
2020-08-19,198.92,202.8425,198.9,200.99,195.258021293315,9467594,0.0,1.0
2020-08-18,199.98,200.1,196.8223,199.01,193.334488370479,6519888,0.0,1.0
2020-08-17,197.3,200.46,196.71,199.43,193.742510505626,6244155,0.0,1.0
2020-08-14,197.01,198.07,195.77,196.64,191.032077750721,5014416,0.0,1.0
2020-08-13,197.13,199.94,197.03,197.58,191.945270148431,7014804,0.3,1.0
2020-08-12,199.0,200.23,198.24,198.74,192.77947740701,5432755,0.0,1.0
2020-08-11,197.82,202.89,196.335,197.77,191.838569220008,11549610,0.0,1.0
2020-08-10,196.36,198.31,195.33,196.79,190.887960948604,5525401,0.0,1.0
2020-08-07,197.59,197.98,195.3,196.36,190.470857319314,5653969,0.0,1.0
2020-08-06,195.98,198.92,194.79,198.77,192.808577660216,7480317,0.0,1.0
2020-08-05,193.56,198.18,193.1,196.1,190.21865512486,8907332,0.0,1.0
2020-08-04,191.13,192.94,190.08,192.29,186.522922967666,8203979,0.0,1.0
2020-08-03,191.8,193.34,190.2105,190.69,184.970909463333,11407911,0.0,1.0
2020-07-31,194.42,194.69,189.44,190.4,184.689607015672,14186004,0.0,1.0
2020-07-30,195.2,196.56,192.12,194.06,188.239837906835,10499358,0.0,1.0
2020-07-29,193.09,198.89,193.05,198.58,192.624276056577,9471295,0.0,1.0
2020-07-28,197.69,199.365,196.71,196.74,190.839460526593,6897278,0.0,1.0
2020-07-27,195.16,197.81,194.2,196.91,191.004361961429,5604702,0.0,1.0
2020-07-24,195.67,197.48,194.03,195.15,189.297147106662,7160336,0.0,1.0
2020-07-23,198.44,200.95,196.43,197.43,191.508766350337,6106708,0.0,1.0
2020-07-22,196.48,199.0,196.25,198.86,192.895878419835,6823385,0.0,1.0
2020-07-21,200.0,200.17,195.68,196.48,190.587258332139,7218615,0.0,1.0
2020-07-20,194.74,199.48,193.67,198.47,192.517575128154,6981682,0.0,1.0
2020-07-17,194.83,195.57,193.12,195.09,189.238946600249,6404449,0.0,1.0
2020-07-16,195.33,195.71,192.52,193.5,187.696633180318,5062637,0.0,1.0
2020-07-15,195.23,197.77,194.5,196.55,190.655158922954,7667921,0.0,1.0
2020-07-14,189.5,193.47,187.18,193.33,187.531731745483,7980401,0.0,1.0
2020-07-13,193.61,195.19,188.7,189.02,183.350995368185,8557336,0.0,1.0
