,OGS_Open,OGS_High,OGS_Low,OGS_Close,OGS_Adj Close,OGS_Volume,OGS_Dividend Amount,OGS_Split Coefficient
2019-03-20,88.24,89.28,87.39,88.38,74.3592676994477,209331,0.0,1.0
2019-03-19,89.12,89.12,87.94,88.35,74.3340269432701,180654,0.0,1.0
2019-03-18,88.45,89.5,88.45,89.2,75.0491817016377,117140,0.0,1.0
2019-03-15,88.69,89.41,88.325,88.81,74.7210518713278,444475,0.0,1.0
2019-03-14,88.83,89.34,88.46,88.69,74.6200888466171,166723,0.0,1.0
2019-03-13,88.73,89.48,88.42,88.86,74.7631197982906,228907,0.0,1.0
2019-03-12,88.4,89.05,88.2,88.69,74.6200888466171,100265,0.0,1.0
2019-03-11,87.76,88.55,87.39,88.44,74.4097492118031,182251,0.0,1.0
2019-03-08,86.96,87.87,86.76,87.74,73.8207982343239,141315,0.0,1.0
2019-03-07,86.72,87.76,86.64,86.87,73.0888163051712,138423,0.0,1.0
2019-03-06,87.0,87.33,86.4,86.5,72.7775136456464,151147,0.0,1.0
2019-03-05,87.76,88.11,86.71,86.83,73.0551619636009,150043,0.0,1.0
2019-03-04,86.9,88.08,86.27,88.08,74.1068601376709,246181,0.0,1.0
2019-03-01,86.62,87.05,85.8,86.71,72.9541989388902,188887,0.0,1.0
2019-02-28,86.24,87.01,85.63,86.45,72.7354457186836,169320,0.0,1.0
2019-02-27,85.54,86.68,85.54,86.35,72.651309864758,119532,0.0,1.0
2019-02-26,86.53,86.64,85.76,86.06,72.4073158883738,200517,0.0,1.0
2019-02-25,86.6,87.12,85.79,86.2,72.5251060838696,318481,0.0,1.0
2019-02-22,85.0,87.23,84.59,86.83,73.0551619636009,350788,0.0,1.0
2019-02-21,81.27,84.935,79.22,84.65,71.2210003480228,494163,0.5,1.0
2019-02-20,84.0,85.01,83.52,84.6,70.7609703986227,195662,0.0,1.0
2019-02-19,83.99,84.72,83.86,84.14,70.3762180773063,162947,0.0,1.0
2019-02-15,83.09,84.2,82.72,83.94,70.2089344593427,214739,0.0,1.0
2019-02-14,83.16,83.67,82.44,82.75,69.213596932459,305023,0.0,1.0
2019-02-13,82.42,83.22,82.29,83.09,69.4979790829972,146062,0.0,1.0
2019-02-12,83.4,83.59,82.33,82.7,69.1717760279681,143610,0.0,1.0
2019-02-11,83.76,83.76,82.69,83.45,69.7990895953318,159906,0.0,1.0
2019-02-08,83.25,84.05,83.21,84.02,70.2758479065282,240474,0.0,1.0
2019-02-07,81.72,83.27,81.57,83.26,69.6401701582663,181337,0.0,1.0
2019-02-06,82.27,82.27,80.82,81.8,68.4189997471317,130043,0.0,1.0
2019-02-05,81.82,82.49,81.4,82.2,68.753566983059,121904,0.0,1.0
2019-02-04,81.91,81.91,80.39,81.72,68.3520862999462,161656,0.0,1.0
2019-02-01,81.9,82.05,80.93,81.88,68.4859131943171,206847,0.0,1.0
2019-01-31,80.99,82.36,80.43,82.15,68.7117460785681,349309,0.0,1.0
2019-01-30,80.27,81.22,79.68,80.77,67.5574891146189,225269,0.0,1.0
2019-01-29,80.61,81.0,79.91,80.21,67.0890949843207,194934,0.0,1.0
2019-01-28,81.08,81.42,79.85,80.56,67.3818413157571,182040,0.0,1.0
2019-01-25,83.22,83.43,81.19,81.26,67.9673339786298,250854,0.0,1.0
2019-01-24,82.66,83.69,81.86,83.3,69.673626881859,605460,0.0,1.0
2019-01-23,81.76,82.97,81.76,82.6,69.0881342189863,306211,0.0,1.0
2019-01-22,81.86,82.25,81.18,81.85,68.4608206516226,266142,0.0,1.0
