,QLYS_Open,QLYS_High,QLYS_Low,QLYS_Close,QLYS_Adj Close,QLYS_Volume,QLYS_Dividend Amount,QLYS_Split Coefficient
2018-01-18,64.85,65.15,64.0,64.1,64.1,148091,0.0,1.0
2018-01-17,64.05,64.9,63.475,64.75,64.75,114916,0.0,1.0
2018-01-16,64.35,65.25,63.5,63.6,63.6,183288,0.0,1.0
2018-01-12,63.85,63.95,63.0,63.9,63.9,121053,0.0,1.0
2018-01-11,62.6,63.75,62.025,63.7,63.7,126189,0.0,1.0
2018-01-10,62.7,63.15,61.9,62.55,62.55,122203,0.0,1.0
2018-01-09,64.25,64.25,62.9,62.95,62.95,170508,0.0,1.0
2018-01-08,63.15,64.4,62.75,64.2,64.2,218371,0.0,1.0
2018-01-05,63.0,64.0,61.8,63.15,63.15,233184,0.0,1.0
2018-01-04,62.15,63.2,62.15,62.9,62.9,203632,0.0,1.0
2018-01-03,61.5,61.925,61.05,61.8,61.8,220770,0.0,1.0
2018-01-02,59.9,61.15,59.5,61.1,61.1,254767,0.0,1.0
2017-12-29,60.2,60.5,59.2,59.35,59.35,183940,0.0,1.0
2017-12-28,60.2,60.6,59.5,60.0,60.0,190962,0.0,1.0
2017-12-27,59.5,60.45,59.1428,60.25,60.25,185476,0.0,1.0
2017-12-26,59.65,59.9,59.2,59.55,59.55,98649,0.0,1.0
2017-12-22,60.2,60.4,59.6,59.85,59.85,190551,0.0,1.0
2017-12-21,59.45,60.15,58.95,60.05,60.05,166230,0.0,1.0
2017-12-20,59.25,59.6,58.55,59.25,59.25,122059,0.0,1.0
2017-12-19,58.9,59.35,58.4,59.05,59.05,324814,0.0,1.0
2017-12-18,59.05,59.4,58.7,58.95,58.95,207546,0.0,1.0
2017-12-15,58.15,58.8,57.45,58.45,58.45,518834,0.0,1.0
2017-12-14,57.4,58.3,57.05,58.2,58.2,315807,0.0,1.0
2017-12-13,57.8,58.895,56.9,57.3,57.3,344092,0.0,1.0
2017-12-12,57.9,58.4,55.05,57.5,57.5,293548,0.0,1.0
2017-12-11,58.45,59.25,58.3,59.0,59.0,167746,0.0,1.0
2017-12-08,58.9,59.4,58.45,58.45,58.45,156383,0.0,1.0
2017-12-07,57.25,58.55,57.175,58.4,58.4,211615,0.0,1.0
2017-12-06,56.2,57.4,56.2,57.1,57.1,118451,0.0,1.0
2017-12-05,56.35,57.7,55.55,56.4,56.4,185958,0.0,1.0
2017-12-04,59.1,59.75,56.15,56.45,56.45,297197,0.0,1.0
2017-12-01,58.95,59.4,57.1,58.75,58.75,231078,0.0,1.0
2017-11-30,59.35,59.35,58.25,58.9,58.9,272747,0.0,1.0
2017-11-29,60.8,61.85,58.45,58.75,58.75,273377,0.0,1.0
2017-11-28,59.6,60.9,59.6,60.75,60.75,398737,0.0,1.0
2017-11-27,62.0,62.35,59.35,59.45,59.45,458462,0.0,1.0
2017-11-24,60.8,62.0,60.4,61.9,61.9,163764,0.0,1.0
2017-11-22,61.1,61.4,60.4,60.55,60.55,388298,0.0,1.0
2017-11-21,59.9,61.2,59.4,61.15,61.15,576206,0.0,1.0
2017-11-20,58.75,59.85,57.85,59.45,59.45,398783,0.0,1.0
2017-11-17,57.85,58.7,56.56,58.65,58.65,237071,0.0,1.0
2017-11-16,57.7,58.8,56.88,58.05,58.05,251074,0.0,1.0
2017-11-15,57.7,58.45,56.3,57.6,57.6,223680,0.0,1.0
2017-11-14,58.0,58.4,57.45,58.0,58.0,235819,0.0,1.0
2017-11-13,56.5,58.25,55.1,58.05,58.05,430979,0.0,1.0
2017-11-10,56.25,57.25,55.5,56.9,56.9,170059,0.0,1.0
2017-11-09,57.0,57.0,55.5,56.45,56.45,213236,0.0,1.0
2017-11-08,56.5,57.75,56.15,57.3,57.3,548086,0.0,1.0
2017-11-07,57.2,57.75,56.45,56.6,56.6,296584,0.0,1.0
2017-11-06,57.05,58.25,56.06,57.35,57.35,334120,0.0,1.0
2017-11-03,56.95,57.75,55.55,57.35,57.35,374398,0.0,1.0
2017-11-02,54.6,57.4,54.2,57.25,57.25,802830,0.0,1.0
2017-11-01,57.35,57.35,53.2,55.75,55.75,1189042,0.0,1.0
2017-10-31,52.35,53.35,52.32,52.9,52.9,261986,0.0,1.0
2017-10-30,52.55,52.55,51.3,52.15,52.15,155304,0.0,1.0
2017-10-27,52.9,53.7,52.25,52.6,52.6,198731,0.0,1.0
2017-10-26,52.05,52.85,51.63,52.6,52.6,137931,0.0,1.0
2017-10-25,51.95,52.45,51.5,51.9,51.9,238576,0.0,1.0
2017-10-24,51.9,52.65,51.75,52.0,52.0,228696,0.0,1.0
2017-10-23,51.35,51.7,50.9,51.5,51.5,129793,0.0,1.0
2017-10-20,51.0,51.55,51.0,51.2,51.2,282793,0.0,1.0
2017-10-19,51.15,51.4,50.65,51.2,51.2,132427,0.0,1.0
2017-10-18,51.6,51.75,51.15,51.5,51.5,151957,0.0,1.0
2017-10-17,51.2,51.75,51.0,51.25,51.25,134605,0.0,1.0
2017-10-16,51.05,52.0,50.85,51.2,51.2,133800,0.0,1.0
2017-10-13,50.7,51.3,50.35,51.0,51.0,246183,0.0,1.0
2017-10-12,50.35,51.0,50.0,50.35,50.35,246552,0.0,1.0
